Velocità;DistanzaLineaCentrale;SensoreSXSX;SensoreSX;SensoreCentrale;SensoreDX;SensoreDXDX;AngoloTraccia
77.561;0.330631;11.8744;32.755;200.0;63.4384;23.4408;0.00349095;1
78.214;0.330583;11.8751;32.7554;200.0;63.4398;23.4403;0.00347508;1
78.8695;0.330534;11.8757;32.7557;200.0;63.4413;23.4398;0.00345869;1
79.5276;0.330485;11.8764;32.7563;200.0;63.4425;23.4393;0.00344382;1
80.1883;0.330437;11.8771;32.7569;200.0;63.4435;23.4388;0.00342965;1
80.3273;0.330387;11.8779;32.758;200.0;63.4437;23.4382;0.00341874;1
80.304;0.330335;11.8783;32.755;200.0;63.4516;23.4383;0.00337427;1
80.2827;0.330281;11.8788;32.753;200.0;63.4577;23.4382;0.00333726;1
80.2614;0.330228;11.8795;32.7533;200.0;63.4596;23.4377;0.00331822;1
80.2401;0.330174;11.8804;32.7553;200.0;63.4581;23.4368;0.00331341;1
80.2188;0.33012;11.8814;32.7583;200.0;63.4548;23.4358;0.00331647;1
80.1975;0.330067;11.8824;32.7617;200.0;63.451;23.4348;0.00332203;1
80.5289;0.330013;11.8835;32.766;200.0;63.4452;23.4335;0.00333569;1
80.9297;0.32996;11.8847;32.7707;200.0;63.4387;23.4322;0.00335286;1
81.3304;0.329908;11.8856;32.7729;200.0;63.4369;23.4313;0.00334957;1
81.7312;0.329854;11.8862;32.7724;200.0;63.4403;23.431;0.00332438;1
82.1324;0.329801;11.8866;32.7699;200.0;63.4473;23.431;0.00328365;1
82.5343;0.329749;11.887;32.7661;200.0;63.4568;23.4313;0.00323233;1
82.937;0.329698;11.8872;32.7613;200.0;63.468;23.4317;0.00317375;1
83.3407;0.329649;11.8873;32.7563;200.0;63.4798;23.4322;0.00311347;1
83.7455;0.329601;11.8875;32.7516;200.0;63.4908;23.4327;0.00305671;1
84.1517;0.329555;11.8877;32.7473;200.0;63.501;23.4331;0.00300391;1
84.559;0.329511;11.8879;32.7432;200.0;63.5107;23.4335;0.00295334;1
84.9677;0.329468;11.888;32.7394;200.0;63.5198;23.4339;0.0029055;1
85.3776;0.329427;11.8882;32.7359;200.0;63.5282;23.4342;0.00286157;1
85.7888;0.329388;11.8884;32.7326;200.0;63.5362;23.4345;0.0028195;1
86.2012;0.329351;11.8886;32.7291;200.0;63.5446;23.4349;0.00277629;1
86.6147;0.329315;11.8887;32.7254;200.0;63.5531;23.4352;0.00273242;1
87.0295;0.329281;11.8888;32.7218;200.0;63.5615;23.4356;0.00268976;1
87.4454;0.329249;11.8888;32.7182;200.0;63.57;23.4361;0.00264717;1
